Порядковый номер, Название иностранных средств массовой информации, Дата
1., "Голос Америки", 05.12.2017
2., "Idel.Реалии", 05.12.2017
3., 05.12.2017, 4.
05.12.2017, 5., 05.12.2017
6., 05.12.2017, 7.
05.12.2017, 8., 05.12.2017
9., "Фактограф", 05.12.2017
10., "Север.Реалии" , 15.11.2019
11., Общество с ограниченной ответственностью "Радио Свободная Европа/Радио Свобода", 11.02.2020
12., Чешское информационное агентство "MEDIUM-ORIENT", 21.12.2020
13., Пономарев Лев Александрович, 28.12.2020
14., Савицкая Людмила Алексеевна, 28.12.2020
15., Маркелов Сергей Евгеньевич, 28.12.2020
16., Камалягин Денис Николаевич, 28.12.2020
17., Апахончич Дарья Александровна, 28.12.2020
